"image_1_text","image_2_text","database","image","number"
"a orange table with crackers and dip, a bowl of pretzels, and a green plate of deviled eggs","a orange table with crackers and dip, a bowl of pretzels, and a green plate of deviled eggs","ma","51537628","7"
"a table of appetizers consisting of a tray of deviled eggs. the furtherst egg being pointed directly staight ahead","a table of appetizers consisting of a tray of deviled eggs. the furtherst eggs is pointed sideways ","ma","51537628","8"
"the picture is large","the picture is small","ma","51856108","1"
"a wall of kids artwork in  a child's room","a colorful painting in a child's room","ma","51856108","2"
"a photo frames with square shape.","a photo frames with rectangle shape.","ma","51856108","3"
"a wall of artwork with the left most piece hanging horizontal","a wall of artwork with the left most piece hanging vertically","ma","51856108","4"
" 20 pictures, all of different sizes, and the left-most one is square","20 pictures, all of different sizes, and the lleft-most one is rectangle","ma","51856108","5"
"pumpkins and coffee theres a man sitting in the back with a blue shirt the pumpkin with the yellow box has its nose slightly lowered than the other picture.","pumpkins and coffee theres a man sitting in the back with a blue sihrt the pumpkin with the yellow box has its nose slightly above the other picture.","ma","55174490","1"
"halloween decoations along with mugs, the nose of the orange pumpkin is near the mouth.","halloween decorations along with mugs and a magazine.the nose on the orange pumpkin is closer to the eyes and centered.","ma","55174490","2"
"a man sitting at a table with halloween decorations including an orange pumpkin with a nose near its mouth","a man sitting at a table with halloween decorations including an orange pumpkin with a nose near its eyes","ma","55174490","3"
"some coffee mugs and pumpkins. one pumpkin has its nose closer to its mouth.","some coffee mugs and pumpkins. one pumpkin has its nose closer to its eyes.","ma","55174490","4"
"a person at a table with coffee and two halloween pumpkins with a nose right above the mouth on the orange pumpkin","a person at  table with coffee and two halloween pumpkins with a nose right near the eyes on the orange pumpkin","ma","55174490","5"
"an orange pumpkin face with a triangle nose placed quite low. ","an orange pumkin face with a triangle nose placed quite high.","ma","55174490","6"
"there are a pile of rocks to the right of the flowers and the rock to the rightmost of the picture is grey","there are a pile of rocks to the right of the flowers and the rocks to the rightmost of the picture are sandy or brown.","ma","56835136","1"
"a picture of a desk with flowers and a pile of stones that stick out a little.","a picture of a desk with flowers and a pile of stones.","ma","56835136","2"
"a table centerpiece with flowers and stones","small, smooth river stones on a table centerpiece","ma","56835136","3"
"a white desk with a small wooden plank in the middle with a a brown disk orange flowers and a pile of rocks with a rock on the right.","a white desk with a small wooden plank in the middle with a brown disk, orange flowers, and a pile of rocks with no rock on the right.","ma","56835136","4"
"there's a peable there ","there's none here","ma","56835136","5"
"bright orange flowers on a wooden board with a pile of stones, two being identical","bright orange flowers on a wooden board with a pile of stones, none being identical","ma","56835136","6"
"there's a violin box here","there's nothing here ","ma","57861456","1"
"a black lamp sits in the middle of a room on a table, while 6 musical instruments sit above it.","a black lamp sits in the middle of a room on a table, while 5 musical instruments sit above it.","ma","57861456","2"
"an orange room with a wall of instruments","an orange room with a wall of instruments","ma","57861456","3"
"a wall with five stringed instruments, a lamp and a table.","a wall with four stringed instruments, a lamp and a table.","ma","57861456","4"
"seven instruments line an orange wall","six instruments line an orange wall","ma","57861456","5"
"an orange room with violins on the walls the small, skinny violin in the box is a duplicate of the one to the left of it","an orange room with violins on the walls. there is no violin in the box, only the one to the left of the box.","ma","57861456","6"
"a room with seven musical insturments on the wall","a room with six musical insturments on the wall","ma","57861456","7"
"a white table with candies, cookies, cupcakes and other goodies","a white table with cupcakes, candies in jars, cookies and other goodies","ma","61118260","1"
"a crooked label on a jar of candy","a straight label on a jar of candy.","ma","61118260","2"
"the shape here is slanted","the shape here is in horizontal shape","ma","61118260","3"
"a bunch of candies and pink treats with horizontal labels, except onea ","a bunch of candies and pink treats with all perfectly horizontal labels","ma","61118260","4"
"a white table with pink treats and a jar with a crooked label","a white table with pink treats and the jars all have straight labels","ma","61118260","5"
"in the seond bottle at the right side, sticker is pasted on opposite side","in the second bottle at te right side, sticker placed at correct side","ma","61118260","6"
"deer near a wall of numbers. all numbers are vertical except number 6","deer near a wall of numbers. all numbers are vertical.","ma","62096551","1"
"deer coin holder with a bunch of labels with numbers and a side ways six to the left","deer coin holder with a bunch of labels with numbers and a side ways six to the right","ma","62096551","2"
"a blue lamb surrounded by wooden numbered squares with a tilted 6","a blue lamb surrounded by wooden numbered squares with a straight 6","ma","62096551","3"
"a figure of a donkey sits near a card with a number 2 on it, and a white card with flowers on it. it is surrounded by numbers, including a sideways number 6.","a figure of a donkey sits near a card with a number 2 on it, and a white card with flowers on it. it is surrounded by numbers, including a normal number 6.","ma","62096551","4"
"an old time advent calendar, they painted the 6 crooked","an old time advent calendar, they painted the 6 straight","ma","62096551","5"
"a wooden calendar with numbers drawn on. the six is crooked slightly drawn to the left","a woode calendar with numbers drawn on. the six is straight like the other numbers","ma","62096551","6"
"a table with three cups and plates, a candle holder, and two containers, and two bowls with handles.","a table with three cups and plates with a spoon, a candle holder, two containers and two bowls with handles.","ma","62224663","1"
"a yellow bowl with a light green inside.","a yellow bowl with a beige colored inside","ma","62224663","2"
"a variety of ceramic household items","a yellow ceramic soup bowl","ma","62224663","3"
"a yellow color  bowl with green shaded are available inside.","a yellow color bowl with cream chaded are available inside","ma","62224663","4"
"a tea set with multiple cups, including a yellow cup with green interior ","a tea set with multiple cups, including a yellow cup with a tan interior ","ma","62224663","5"
"a pile of decorative dishes. a blue bowl rests at the bottom while a yellow bowl with a green interior sits in top","a pile of decorative dishes. a blue bowl rests at the bottom while a yellow bowl with and white interior sits on top","ma","62224663","6"
"a green inner lined bowl sits with other dishes on a table","a creamy inner lined bowl sits with other dishes on a table","ma","62224663","7"
"various ceramic items on a wood tabletop. the pan in the box has a green interior","various ceramic items on a wood tabletop. the pan in the box has a pink interior.","ma","62224663","8"
"a bunch of old cups and fancy china with a green bowl.","a bunch of old cups and fancy china with a yellow bowl","ma","62224663","9"
"various pieces of china include a yellow bowl with green paint inside","various pieces of china including a yellow bowl with white paint inside","ma","62224663","10"
"a picture of a outside table set up for lunch.","a picture of an outside table set up for lunch with forks and knives.","ma","67862299","1"
"a napkin on a dining table.","silverware on a dining table","ma","67862299","2"
"an outdoor dining table arrangement with 9 place completely set for dining and 1 place missing its plate and silverware","an outdoor dining table arrangement with 9 places completely set for dining and 1 place missing its plate ","ma","67862299","3"
"a round table outdoors with a gray tablecloth, and cutlery set up with drink glasses with pink cloth napkins","a round table outdoors with a gray tablecloth, and cutlery set up with drink glasss with pink cloth napkins","ma","67862299","4"
"an outdoor party with table set and missing a setting","an outdoor party with table set and all the flatware in place","ma","67862299","5"
"a bunch of pink napkins in cups, and plates with forks next to it, except one","a bunch of pink napkins in cups, and plates that all have forks next to them","ma","67862299","6"
"a picture showing stamps laid out on a grid. one of the stamps shows the phone number and webstie separated with a lot of whit space.","a picture showing stamps laid out on a grid. one of the stamps shows the phone number and website of a company close together","ma","69128765","1"
"the writing is at the bottom","the writing is at the top","ma","69128765","2"
"rows of business cards with a website at the bottom of the card","rows of business cards with the website under the phone number","ma","69128765","3"
"business cards with a website on it","business cards without a website on them","ma","69128765","4"
"a black and white checker pattern displaying cards that have brands and addresses. one such card has a web url a the bottom of the card.","a black and white checker pattern displaying cards that have brands and addresses. one card has a web url placed directly under the phone number.","ma","69128765","5"
"a website address located under a phone number with large spacing","a website address located under a phone number with no spacing","ma","69128765","6"
"a checkerboard sheet containing a set of contact information and titles of a company with the website on the bottom of the square.","a checkerboard sheet containing a set of contact information and titles of a company with the website in the middle of the square","ma","69128765","7"
"a wooden piece of art of squares with a business address and phone number","a wooden piece of art that has squares with address and phone numbers in them","ma","69128765","8"
"an array of brand logos and business addresses with one on the left showing a web address near the bottom","an array of brand logos and business addresses with one on the left showing a web address directly under a phone number.","ma","69128765","9"
"website is placed at the bottom cornoer box","website name is placed at the correct position","ma","69128765","10"
"a display for a business that contains the business address and brand oak 63","a display for a business that contains the business address and web address allong with the phone number and the brand oak 63","ma","69128765","11"
"a green and red quilt of squares of various shades of green and red.","a green and red quilt hanging on a white wall. the squares are various shades of green and red.","ma","70687495","1"
"a green white and red checkered quilt with a pink patch in the yellow box.","a green white and red checkerd quilt with a white patch in the yellow box.","ma","70687495","2"
"a red and green checkered cloth hangs on a wall, and the third row is white, red, red, red, red, red, red, red, and red.","a red and green checkered cloth hangs on a wall, and the third row is white, red, red, red, red, white, red, red, and red.","ma","70687495","3"
"a red and green quilt with a medium red square in the yellow box","a red and green quilt with a light pink square in the yellow box","ma","70687495","4"
"a red, white and green quilt. the segment in the box is red","a red, white and gree quilt. the segment in the box is peach colored.","ma","70687495","5"
"a quilt with various square patterns, with one section being a ligher shade of red.","a quilt with various rectangular patterns with one section being a light shade of orange.","ma","70687495","6"
"a sheet wtih green and red element where their cross-section is red","a sheet with green and red element where their cross-section is pink","ma","70687495","7"
"a striped material blanket of red, green, and white with a red dotted square on the right center","a striped material blanket of red, green, and white with a peach square on the right center","ma","70687495","8"
"a quilt with green, grey and red checks that repeat on the fourth row as light, dark, medium, and dark","a quilt with green, grey, and red checks that repeat on the fourth row as light, dark, light, dark","ma","70687495","9"
"a plate of halloween themed candies","a candy baty decoration on a larger halloween themed candy","ma","72488522","1"
"halloween decorations including an orange bat","halloween decorations including an orange bat on the cat","ma","72488522","2"
"a hello kitty halloween decoration with an orange bat tilted right on her coat","a hello kitty halloween decoration with an orange at tilted left on her coat","ma","72488522","3"
"a bunch of halloween play-dough objects, one of which has a bat turned to the right on it's chest","a bunch of halloween play-dough objects, one of which has a bat turned the left on it's chest","ma","72488522","4"
"a plate containing fondant halloween decorations including a hello kitty with an orange bat looking towards the left","a plate containing fondant halloween decorations including a hello kitty with an orange bat looking towards the right","ma","72488522","5"
"halloween fondant decorations featuring hello kitty dressed as a cat with an orange bat angled to the right on her outfit","halloween fonant decorations featuring hello kitty dressed as a cat with an orange bat angled to the left on her outfit","ma","72488522","6"
"an orange bat with its left wing pointing down","an orange bat with its right wing pointing down","ma","72488522","7"
"a set of candies on a table that are halloween themed with an orange bat tilted right","a set of candies on a table that are halloween themed with an orange bat tilted left","ma","72488522","8"
"a cake is decorated with halloween themed figures including a kitty in black with a bat pin tilted to the right","a cake is decorated with halloween themed figures including a kitty in black with a bat pin tilted to the left","ma","72488522","9"
"a hallowween cake with a kitty and a yellow bat on its hip","a halloween cake with a kitty and a yellow bat on the middle right of outfit","ma","72488522","10"
"a piece of candy that looks like hello kitty dressed up for halloween with a bat angled upwards to the right adorning the costume with other pieces of candy on a plate. ","a piece of candy that looks like hello kitty dressed up for halloween with a bat andgled upwards to the left adorning the costume with other pieces of candy on a plate.","ma","72488522","11"
"halloween themed candies with a cat that has a right-tilted orange bat on its chest.","halloween themed candies with a cat that has a left-tilted bat on its chest.","ma","72488522","12"
"there are six small decors and a blue cushion on the green table and the pattern on the top left corner of the cushion is a pink butterfly","there are six small decors ad a blue cushion on the green table and the pattern on the top left corner of the cushion is a red strawberry","ma","73637203","1"
"a grey-green metal chair with a pillow on the back of the chair that has fruit and butterflies on it. there are several christmas decorations on the seat of the chair","a grey-green metal chair with a pillow on the back of the chair with pink butterflies and red strawberries, cherries and apples on the seat of the chair are christmas decorations","ma","73637203","2"
"the picture contain the butterfly","in the pillow the picture is strawberry","ma","73637203","3"
"butterfly pillow with fruit on it","strawberry pillow with butterflys on it","ma","73637203","4"
"a chair cover with a pink butterfly at the top left","a chair cover with a red strawberry at the top left","ma","73637203","5"
"a pillow on an outdoor table with a pink butterfly in the upper left hand corner","a pillow on an outdoor table with a strawberry in the upper left hand corder","ma","73637203","6"
"a beautiful good looking blue pillow with two strawberries and five butterflies pics on it.","a beautiful good looking pillow with three strawberries and four butterflies pics on it.","ma","73637203","7"
"garden seat with six decorative emblems laid upon it in addition to a pillow featuring a printed butterly and strawberry in its upper left corner","garden seat with six decorative emblems laid upon it in addition to a pillow featuring two printed strawberries in its upper left corner","ma","73637203","8"
"a picture of a shelf with books, bird statues, and two clocks shaped like ship wheels.","a picture of a shelf with books, bird statues, and two clocks shaped like ship wheels.","ma","74173745","1"
"a wooden shelf with books,bird statues and guages with a dial pointing to the upper left.","a wooden shelf with books, bird statues and guages with a dial point to the right.","ma","74173745","2"
"a bookshelf with books, trinkets and wooden birds. the clock in the box is at 1130 orientation","a bookshelf with books, trinkets and wooden birds. the clock in the box is at 200 orientation","ma","74173745","3"
"a clock pointing at 11 o clock","a clock pointing at 2 o clock","ma","74173745","4"
"a wooden shelf with a variety of books and objects and a glass clock at 11 oclock","a wooden shelf with a variety of books and objects and a glass clock at 2 oclock","ma","74173745","5"
"a book shelf containing teo compasses pointing north","a book shelf with one compass pointing north and one pointing north east","ma","74173745","6"
"a shelf which displays objects including two instruments with their needles pointing upward","a shelf which displays objects including two instruments, one with its needle pointing up and the other with its needle pointing slightly to the right.","ma","74173745","7"
"a wooden bookshelf containing books, a shell and a duck","a wooden bookshelf containing books, a shell, a barometer and a duck.","ma","74173745","8"
"a neatly arranged showcase with a compass pointing north.","a neatly arranged showcase with a compass pointing west.","ma","74173745","9"
"there are 15 cookies on the plate and the brown face cookie at south west direction has its hair facing north east.","there are 15 cookies on the plate and the brown face cookie at south west direction has its hair facing north west.","ma","75081153","1"
"a reindeer cookie on a plate","a reindeer cookie amang other christmas cookies","ma","75081153","2"
"a white plate with small colorful clay winter characters including a reindeer facing left","a white plate with small colorful clay winter charatcers including a reindeer aligned straight","ma","75081153","3"
"a set of christmas figures made of fondant on a plate with one reindeer pointing towards the left","a set of christmas figures made of fondant on a plate with one reindeer pointing towards the bottom of the image","ma","75081153","4"
"decorated cookies with a reindeer at an angle  ","decorated cookies with a reindeer straight on the plate","ma","75081153","5"
"all different types of what resembles painted rocks.  in the yellow square there is a heart shape rock that is yellow with red dots.  it is turned so that the point of the heart is facing to the right","all different type of what resembles painted rocks.  in the yellow square there is a heart shape rock that is yellow with red dots.  it is turned so that the point of the heart is almost facing completlely down.","ma","75958241","1"
"a wooden cutting board with jelly beans, earrings, and small colorful trays and heart shaped potatoes, rocks, and a mirror and necklace and a orange heart","a wooden cutting board with jelly beans, earrings, and smlall colorful trays and heart shaped potatoes, rocks, a mirror, necklace, and a orange heart","ma","75958241","2"
"a wooden tray of craft supplies with a yellow heart terned ninety degrees.","a wooden tray of craft supplies with a yellow heart turned diagonally.","ma","75958241","3"
"heart decorations and painted heart stones touching","heart decorations and painted heart stones","ma","75958241","4"
"a collection of heart shaped trinkets with an orange heart turned to the left.","a collection of heart shaped trinkets with an orange heart turned at 45 degree angle to the left","ma","75958241","5"
"a collection of heart shaped objects. four heart sculptures are at the bootom with an orange heart oriented 90 degrees to the left","a collection of heart shaped objects. four heart sculptures are at the bottom with an orange heart oriented 45 degrees to the left","ma","75958241","6"
"a collection of valentine sweets including a yellow heart with its top to the left","a collection of valentine sweets including a yellow heart tilted slightly to the left.","ma","75958241","7"
"assortment of heart themed objects, including a yellow heart with pink spots laying horizontally, sitting on a wooden board","assortment of heart themed objects, including a yellow heart with pink spots laying diagonally, sitting on a wooden board","ma","75958241","8"
"a platter of gourmet cupcakes","a fondant banner with someone's name on it","ma","77345858","1"
"eight pink-frosted cupcakes with a pink ribbon and the word 'gughlhof'","eight pink-frosted cupcakes with a pink ribbon and the word 'gugelhofe'","ma","77345858","2"
"pink cupcakes in a tower arrangement and letters spelling gughlhoh","pink cupcakes in a tower arrangement and letters spelling gugelhof","ma","77345858","3"
"cupcakes with the word 'gughlhof' on a ribbon","cupcakes with the word 'gugelhof' on a ribbon","ma","77345858","4"
"decorated cupcakes with ribbon fondant with the letter h in the center ","decorated cupcakes with ribbon fondant with the letter e in the center of the ribbon","ma","77345858","5"
"a bunch of cupcakes with an h in the midle","a bunch of cupcakes with an e in the middle","ma","77345858","6"
"a neatly arranged settin of pink frosted cupcakes with blue paper wrappers and the letter h along with a bunch of letters on a pink banner","a neatly arranged setting of pink frosted cupcakes with blue paper wrappers and the letter e along with a bunch of letters on a pink bannerg","ma","77345858","7"
"a bunch of cupcakes containing the letter h twice","a bunch of cupcakes containing the letter h once","ma","77345858","8"
"a plate of cupcakes with a pink iced ribbon in the front with the letters gughlhof.","a plate of cupcakes with a pink iced ribbon in the front with the letters gugelhof.","ma","77345858","9"
"a plate full of cupcakes with a pink sugar ribbon thet reads guglhof","a plate full of cupcakes with a pink sugar ribbon that reads gugelfoh","ma","77345858","10"
"ten sets of ice-creams with the brand name gughlhof.","ten sets of ice-creams with the brand name gugelhof.","ma","77345858","11"
"a table with a white table cloth 4 pears in a white bowl 2 candles and two containers a white ve with blue and white flowers are on the table","a table with a white table cloth, four pears in a white bowl, two candles,  two containers and a white vase with blue and white flowers in it.","ma","77574131","1"
"bunch of violet and cream flowers on a linen table cloth with a white bunch on the left","a bunch of violet and cream flowers on a linen table cloth with a violet bunch on the left","ma","77574131","2"
"a table with small glasses, a bowl of pears and flowers in the vase. the flowers in the box are green.","a table with small glasses, a bowl full of pears and flowers in the vase. the flowers in the box are purple.","ma","77574131","3"
"a table with dishes and a vase with yellow and blue flowers","a table with flowers and a lot of blue flowers with dishes","ma","77574131","4"
"a hydrangea arrangement with more green flowers.","a hydrangea arrangement with more blue flowers.","ma","77574131","5"
"a bouquet of flowers on a white table","a bouquet of white and purple flowers on a white table","ma","77574131","6"
"a well looking flower vase with a highlighted yellow flower.","a well looking flower vase wih a highlighted blue flower.","ma","77574131","7"
"food table with a green ribbon","food table with a brown ribbon","ma","77793328","1"
"a table full of gourmet baked goods","gourmet lollipops","ma","77793328","2"
"a variety of desserts including one that is tied wuth a green ribbon.","a variety of desserts inclusing one that is tied with a brown ribbon.","ma","77793328","3"
"a bakery display of cakes and treats, with a small white birthday cake with a green bow","a bakery display of cakes and treats with a small white birthday cake with a brown bow","ma","77793328","4"
"a table of desserts, in the center a green ribbon","a table of desserts, in the center a brown ribbon","ma","77793328","5"
"a decoratve band in green","a decorative band in brown","ma","77793328","6"
"a table with elegant desserts and flowere decorations","a table with delicious desserts and flowers and bows","ma","77793328","7"
"a table of cakes with a centerpiece that has a green ribbon","a table of cakes with a centerpiece that has a brown ribbon","ma","77793328","8"
"a crowded table of bakery items with a cake and candles that has a green ribbon tied around it.","a crowded table of bakery items with a cake and candles that has a broen ribbon tied around it. ","ma","77793328","9"
"an array of baked sweets displayed on a table with one sweet wrapped in a green sugar ribbon.","an array of baked sweet displayed on a table with two sweets wrapped in brown sugar ribbons.","ma","77793328","10"
"a table that has various types of desserts stacked upon it","a table with various types of desserts on it, one of tem has a chocolate bow and a clear container","ma","77793328","11"
"assortment of baked goods on a table, several of which feature a ribbion of either brown or green color","assortment of baked goods on a table, several of which feature a ribbon of brown color","ma","77793328","12"
"there are two rows of backpacks on a shelf with the eighth one on the top row being green, and a bicycle in front of them","there are two rows of backpacks on a shelf with the eighth one on the top row being black, and a bicycle in front of them","ma","79191795","1"
"two rows of maiboxes with a bike below it and a green mailbox.","two rows of mailboxes with a bike below it and a black mailbox with lettering.","ma","79191795","2"
"there's a green bag in the yellow box","there's a black bag in the yellow box","ma","79191795","3"
"a mountain bike in front of a variety of different colored mail boxes, predomnitaley  blue colored","a mountain bike in front of a variety of different colored mail boxes, with a black mailbox at its center","ma","79191795","4"
"a bike in front of multiple mailboxes. the mailboxes are all different colors. the one in the box is green.","a bike in front of multiple mailboxes. the mailboxes are all different colors. the one in the box is black.","ma","79191795","5"
"a green number 4 stiched on a baby blanket.a nu","a number 4 sewn onto a blanket","ma","79222679","1"
"a cloth with multiple letters. 4 appears closer to g","a cloth with multiple letters. number 4 appears closer to the edge","ma","79222679","2"
"an alphabet number blanket with a 4 beside the g","an alphabet nunber blanket with a 4 above the g","ma","79222679","3"
"the kercheif contains the number down","the kerchief the number up","ma","79222679","4"
"a blanket with letters and numbers stiched on. the green 4 is too close the the pink g","a blanket with letters and numbers stitched on. the green 4 is evenly spaced from the pink g now closer to the top of the blanket","ma","79222679","5"
"white blanket with dotted trim with the number 4 and some letters","white blanket with dotted trim with a green number 4 and some letters","ma","79222679","6"
"a picture of a wall painted with u2 stuff. the words 'u2' are painted on the center right portion of the wall.","a picture of a wall painted with u2 stuff. the words 'u2' are painted on the upper right corner of the wall.","ma","79241011","1"
"u2 decorations with targets and a small explosion in the bottom right corner the u2 in the yellow box is slightly lower than the other picture.","u2 decorations with targets and a small explosion in the bottom right corner the u2 in the yellow box is slightly higher than the other picture.","ma","79241011","2"
"black red and white wall with u21 written on it","colorful wall with tu21 on it","ma","79241011","3"
" a red decorated bedroom wall with the u2l next to the bullseye","a red decorated bedroom wall with the u2l to the right and slightly above the bullseye","ma","79241011","4"
"a room with a red wall and targets with u21 painted low","a room with a red wall and targets with u21 painted high","ma","79241011","5"
"a decorated bedroom the poster in the yellow box in longer than the other picture.","a decorated bedroom the poster in the yellow box is shorter in this picture.","ma","79573638","1"
"a bigger rectangle size photo frame are available.","a smaller rectangle size photo frame are available.","ma","79573638","2"
"a bohemian bedroom with a large abstract pink painting hanging","a bohemian bedroom with a small abstract pink painting hanging","ma","79573638","3"
"an eceltic decorated room with artwork hung on the wall with clothes pins, the center artwork being the largest and pink.","a decorated bedroom with artwork hung on the wall with string and clothes pins, the center artwork being pink.","ma","79573638","4"
"a bedroom, with a multi-colored bedspread, and posters hanging on the wall","a bedroom, with a multi-colored bedspread, and posters hanging on the wall. the poster in the center is shorter than the one on the left image.","ma","79573638","5"
"a circuit board with six silver connectors and several other electronic looking objects on the boards","there are two boards the one lying on the table has several electronic things and six various silver bars ","ma","8197559","1"
"a circuit board with various ciruits and a light up board in the back  with a long metal circuit in the front of the board.","a circuit board with various circuits and a light up board in the back with a short metal circuit in the front of the board.","ma","8197559","2"
"an electrical component with a metal handle approximately four inches in length","an electrical component with a metal handle approximately two inches in lenth","ma","8197559","3"
"an electronic board with 5 small metal rods in the center and 1 long metal rod","an electronic board with 6 sall metal rods in the center ","ma","8197559","4"
"a circuit board sits on a table, and there is a long metal piece in the middle bottom of it.","a circuit board sits on a table, and there is a short metal piece in the middle bottom of it, closer to the left side.","ma","8197559","5"
"transistors and bits and bops on a board, one rod longer than others","transistors and bits and bops on a board, all the rods are average in length","ma","8197559","6"
"a circuit board with six wires sitting parallel to eachother, the foremost being the longest","a circuit board with six wire sitting parallel to eachother, the foremost is not the longest","ma","8197559","7"
"an electric circuit board, with a wire on the bottom that spans to the locatin of the microchip on the right","an electric circuit board, with a wire on the bottom that spans not quite to the location of the microchip on the right","ma","8197559","8"
"there is no name board in the table","there is a name board in the table","ma","81993755","1"
"a name board is not available infront of spoon on the table.","a name board is available infront of spoon on the table.","ma","81993755","2"
"a reserved event table with all white dinerware ","a reserved event table with all white dinerware","ma","81993755","3"
"a table set for a tea with name tags but one is blank","a table set for a tea with name tags ","ma","81993755","4"
"a table with a tablecloth and dishes","a table with a tablecloth and dishes","ma","81993755","5"
"a neatly arranged table setting for a party","a neatly arranged table setting for a party with a name card placed on the table","ma","81993755","6"
"a table set with cups and spoons and plates","a table set with cups and saucers with monogrammed napkins","ma","81993755","7"
"building. top left window closed","building. top left window open.","ma","83536470","1"
"a 3 story wide building with windows in each section except the end","a 3 story wide building with all windows in each section","ma","83536470","2"
"a stone mansion with six windows on the top row.","a stone mansion with seven windows on the top row.","ma","83536470","3"
"a castle with a lot of windows expect one room","a castle with a lot of windows for all rooms","ma","83536470","4"
"there are 24 pictures hung on the wall and the fifth picture on the second row from the left has a grey background.","there are 24 pictures hung on the wall and the fifth picture on the second row from the left has a black background.","ma","83691215","1"
"picture gallery on wall with all pictures straight up","picture gallery on wall with one picture upside down","ma","83691215","2"
"the picture is like a scenerio","the picture is a sea","ma","83691215","3"
"a white wall containing many pictures with the picture in the middle being dark on bottom and lighter colored on top","a white wall containing many pictures with the picture in the middle being dark on top and lighter colored on bottom","ma","83691215","4"
"a collection of pictures on a wall with one being an obscure photo","a collection of pictures on a wall with one being a dark but obscure photo.","ma","83691215","5"
"a wall full of framed pictures. one smaller picture has a white frame and shows a dark image.","a wall full of framed pictures. one shows a white frame and shows a dark image.","ma","83691215","6"
"a set of pictures on a wall with a blurred white frame picture in the middle","a set of pictures on a wall with a greyscale bus picture on a white frame in the middle.","ma","83691215","7"
"neatly arranged photos in frames on a wall with one smaller photo in a frame with a backgroun of a tree and a hill","neatly arranged photos in frames on a wall with one smaller photo in a frame of another scene","ma","83691215","8"
"a wall crowded with pictures with one black and white picture in the middle that is blurry.","a wall crowdrd with pictures with one black and white picture in the middle that is clear. ","ma","83691215","9"
"a collection of framed pictures hanging on a wall with a white-framed photo in the center thstis light at the top and dark at the bottom.","a collection of framed picuters hanging on a wall with a white-framed picture in the center that isdarl at the top and light at the bottom.","ma","83691215","10"
"a wall with lot of pictures with a mountain picture in the middle.","a wall with lot of picture with a sea picture in the middle.","ma","83691215","11"
" the towel contains 'a' letter small","the towel contains 'a' letter large","ma","83785171","1"
"a hand towel with a fish and some letters. the letter in the box is small compared to the others","a hand towel witha a fish and some letters. the letter in the box is an apropriate size compared to the others.","ma","83785171","2"
"a distowel embroided with different color fabric that spells eat with a small a","a dishtowel embroided with different color fabric that spells out the work eat. the a is similar in spacing and size as the t","ma","83785171","3"
"a dish towel hanging on an oven handle that reads 'eat' with a small 'a' ","a dish towel hanging on an oven handle that reads 'eat' with a large'a'","ma","83785171","4"
"a towel with the word eat where the letter a is small in size.","a towel with the word eat in it.","ma","83785171","5"
"a kitchen towel decorated with a fish, an apple, and the word 'eat' spelled out with a small 'a'","a kitchen towel decorated with a fish, an apple, and the word 'eat' spelled out with a large 'a'","ma","83785171","6"
"a variety of colorful lamps and one with a yellow top","a variety of colored lamps and one  with a white top.","ma","85741618","1"
"a selection of various lights in different colors and shapes with a green light that has a cut out on a white base.","a selection of various lights in different colors and shapes with a white light that has a cut out on a white base.","ma","85741618","2"
"a table with round lights and one light has a green top","a table with round lights all white or yellow colored","ma","85741618","3"
"a group of colorfull lamps on a table. one has a soft green light.","a group of colorfull lamps on a table. one has a soft orange light","ma","85741618","4"
"an array of led type lights and one with a green color lid","an array of led type lights and one with a white color lid","ma","85741618","5"
"near the big light, middle light is coated with green color","near te big light, middle light is coated wth white color","ma","85741618","6"
"a sweets display the yellow box has a shorter stick than the other picture","a sweets display the yellow box has a taller stick in it than the other picture.","ma","86520382","1"
"a candy setup with a broken stick on the right","a candy setup with perfect stick candies","ma","86520382","2"
"a plethora of desserts and a sucker without a stick","a plethora of desserts and a sucker with a stick","ma","86520382","3"
"candy decorations and a big jar of sweets","candy decorations with a big jar of sweets and some suckers next to it","ma","86520382","4"
"pink and red desserts displayed in glass containers on a table, cake pops to the right and one is missing a stick","pink and red desserts displayed in glass containers on a table, cake pops to the right with pink sticks.","ma","86520382","5"
"various treats on a table without a lollipop stick","various treats on a table with a lollipop stick","ma","86520382","6"
"a picture of a table set up for dinner. the table is covered with a table cloth that has printings of red and yellow flowers.","a picture of a table set up for dinner. the table is covered with a table cloth that has printings of red flowers.","ma","87983207","1"
"a set dinner table with a flower pattern cloth","a set dinner table with a flower pattern cloth","ma","87983207","2"
"a tablecloth with one orange flower and the rest are red.","a tablecloth with red flowers","ma","87983207","3"
"a set table with a table cloth that has orange flowers","a set table with a table cloth that has red flowers","ma","87983207","4"
"a set dinner table with a floral covering. one flower in the pattern is orange rather than red.","a set dinner table with a floral covering. all flowers in the pattern are red.","ma","87983207","5"
"a table cover with an orange flower","a table cover with all red flowers","ma","87983207","6"
" a table set for six with a flower patterned table cloth. the flower furthest left is orange","a table set for six with a flower patterned table cloth. the flower furthest left is red","ma","87983207","7"
"a table cloth with an orange flower","a table cloth with a red flower","ma","87983207","8"
" a dining table with red flower printed pattern and only one orange flower .","a dining table with all red flower printed pattern.","ma","87983207","9"
"valentine hearts and doves the heart in the yellow box is larger than the other picture.","valentine hearts and doves the heart in the yellow box is smaller than the other picture.","ma","88767165","1"
"a medium size heart shaped candy.","a small heartshaped candy on a plate with doves and other hearts.","ma","88767165","2"
